"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 30 15:01:18 ALMT 2020","Fri Oct 30 15:01:42 ALMT 2020","24021","","Nova-city:","","Nova-city:","Фильтр. Этаж.","Фильтр. Этаж.",""
"passed","Fri Oct 30 15:02:03 ALMT 2020","Fri Oct 30 15:02:33 ALMT 2020","30049","","Nova-city:","","Nova-city:","Фильтр. количество комнат","Фильтр. количество комнат",""
"failed","Fri Oct 30 14:31:32 ALMT 2020","Fri Oct 30 14:31:35 ALMT 2020","2566","","Главная:","","Главная:","Фильтр. количество комнат","Фильтр. количество комнат",""
"passed","Fri Oct 30 14:31:07 ALMT 2020","Fri Oct 30 14:31:32 ALMT 2020","25238","","Главная:","","Главная:","Фильтр. Этаж.","Фильтр. Этаж.",""
"passed","Fri Oct 30 15:03:23 ALMT 2020","Fri Oct 30 15:03:31 ALMT 2020","7359","","Nova-city:","","Nova-city:","Фильтр. Районы.","Фильтр. Районы.",""
"passed","Fri Oct 30 15:03:05 ALMT 2020","Fri Oct 30 15:03:23 ALMT 2020","18485","","Nova-city:","","Nova-city:","Фильтр. Цена.","Фильтр. Цена.",""
"passed","Fri Oct 30 15:01:42 ALMT 2020","Fri Oct 30 15:02:03 ALMT 2020","20352","","Nova-city:","","Nova-city:","Фильтр. Год.","Фильтр. Год.",""
"passed","Fri Oct 30 15:02:50 ALMT 2020","Fri Oct 30 15:03:04 ALMT 2020","14882","","Nova-city:","","Nova-city:","Фильтр. Объекты.","Фильтр. Объекты.",""
"failed","Fri Oct 30 14:31:35 ALMT 2020","Fri Oct 30 14:31:36 ALMT 2020","1559","","Главная:","","Главная:","Фильтр. Квадратура.","Фильтр. Квадратура.",""
"passed","Fri Oct 30 15:03:31 ALMT 2020","Fri Oct 30 15:03:45 ALMT 2020","14443","","Nova-city:","","Nova-city:","Главная","Главная",""
"passed","Fri Oct 30 15:02:33 ALMT 2020","Fri Oct 30 15:02:49 ALMT 2020","16500","","Nova-city:","","Nova-city:","Фильтр. Квадратура.","Фильтр. Квадратура.",""
